,L2/3 IT CTX-1,L4/5 IT CTX,L5 IT CTX,L5 NP CTX,L5 PT CTX,L6 CT CTX,L6 IT CTX,L6b CTX,Lamp5,Sst,Vip
5200_26800,6.93E-02,6.12E-02,1.76E-01,8.74E-02,5.26E-02,5.06E-02,1.68E-01,1.59E-02,1.23E-01,1.25E-01,7.07E-02
5200_29200,3.31E-02,1.49E-01,8.05E-02,6.32E-02,4.47E-02,9.10E-03,7.45E-02,2.91E-03,1.11E-01,6.17E-02,3.70E-01
5200_30000,5.42E-02,7.28E-02,1.10E-01,6.11E-02,3.34E-02,1.33E-02,1.27E-01,3.00E-03,3.07E-01,4.79E-02,1.70E-01
5200_30800,3.69E-02,1.15E-01,4.51E-02,6.38E-02,1.93E-02,1.12E-02,6.34E-02,1.84E-03,3.64E-01,6.53E-02,2.14E-01
5200_31600,7.65E-04,2.35E-02,4.23E-03,5.11E-03,2.18E-03,3.10E-04,3.65E-03,1.23E-04,9.06E-01,2.61E-02,2.78E-02
5200_32400,1.80E-03,4.69E-02,1.01E-02,6.94E-03,6.05E-03,7.14E-04,6.15E-03,2.80E-04,7.49E-01,1.05E-01,6.73E-02
5200_33200,9.55E-03,5.51E-02,1.88E-02,2.69E-02,8.47E-03,9.95E-03,1.05E-02,9.25E-04,6.73E-01,8.84E-02,9.82E-02
5200_34000,1.08E-02,8.12E-02,5.06E-02,2.44E-02,2.51E-02,6.43E-03,3.25E-02,2.15E-03,3.65E-01,2.64E-01,1.38E-01
5200_34800,4.88E-02,1.60E-01,1.01E-01,4.91E-02,6.76E-02,1.51E-02,5.44E-02,6.00E-03,4.53E-02,1.61E-01,2.92E-01
5200_35600,2.82E-02,8.23E-02,1.04E-01,5.03E-02,5.32E-02,5.04E-02,1.14E-01,9.52E-03,6.29E-02,2.21E-01,2.25E-01
5200_36400,6.61E-03,6.04E-02,1.60E-01,2.87E-02,7.18E-02,1.49E-02,3.52E-01,1.83E-02,5.08E-02,1.43E-01,9.34E-02
5200_37200,2.82E-02,7.14E-02,7.45E-02,4.25E-02,2.41E-02,5.69E-02,2.17E-02,2.54E-03,9.68E-02,3.14E-01,2.67E-01
5200_38000,1.79E-01,2.23E-02,2.29E-01,5.32E-02,3.55E-02,1.52E-01,1.34E-01,1.74E-02,6.41E-02,6.94E-02,4.38E-02
5200_38800,7.66E-02,2.36E-02,4.32E-01,1.93E-02,5.83E-02,4.11E-02,1.44E-01,1.04E-02,4.79E-02,9.31E-02,5.37E-02
5200_39600,9.57E-03,5.34E-02,4.74E-01,1.67E-02,7.29E-02,8.45E-03,8.71E-02,5.59E-03,4.98E-02,1.18E-01,1.04E-01
5200_40400,1.23E-01,1.36E-02,2.69E-01,3.06E-02,3.54E-02,1.05E-01,2.26E-01,1.52E-02,7.80E-02,7.75E-02,2.64E-02
5200_41200,6.80E-03,3.48E-02,1.90E-01,1.71E-02,5.45E-02,1.29E-02,2.74E-01,7.36E-03,5.07E-02,2.67E-01,8.56E-02
5200_42000,1.45E-02,3.31E-02,1.59E-01,3.98E-02,4.36E-02,4.51E-02,3.49E-01,1.64E-02,4.09E-02,1.94E-01,6.44E-02
5200_42800,7.10E-03,3.04E-02,2.35E-01,2.05E-02,4.14E-02,2.06E-02,2.06E-01,5.37E-03,7.44E-02,2.67E-01,9.22E-02
5200_43600,4.71E-02,2.27E-02,1.64E-01,4.62E-02,3.27E-02,1.09E-01,3.27E-01,2.18E-02,7.59E-02,1.10E-01,4.36E-02
5200_44400,8.33E-03,2.73E-02,1.27E-01,2.44E-02,3.93E-02,2.68E-02,4.67E-01,1.33E-02,3.18E-02,1.74E-01,6.07E-02
5200_45200,8.29E-03,1.92E-02,1.35E-01,2.19E-02,2.97E-02,3.06E-02,4.98E-01,9.99E-03,3.28E-02,1.67E-01,4.82E-02
5200_46000,9.82E-03,2.03E-02,1.26E-01,2.81E-02,2.80E-02,3.67E-02,5.24E-01,1.29E-02,2.80E-02,1.43E-01,4.30E-02
5200_46800,1.27E-01,1.15E-01,6.33E-02,7.56E-02,2.61E-02,3.01E-02,4.49E-02,3.91E-03,1.67E-01,1.02E-01,2.45E-01
6000_23600,2.18E-01,1.90E-02,9.12E-02,6.50E-02,1.38E-02,3.98E-02,3.12E-02,4.17E-03,4.55E-01,2.92E-02,3.29E-02
6000_25200,1.08E-01,3.75E-02,1.69E-01,4.98E-02,5.25E-02,1.30E-01,1.27E-01,2.02E-02,9.91E-02,1.26E-01,8.04E-02
6000_26000,2.66E-02,2.84E-02,1.46E-01,3.32E-02,3.99E-02,6.13E-02,2.66E-01,1.40E-02,8.50E-02,2.46E-01,5.36E-02
6000_26800,2.70E-02,3.51E-02,8.71E-02,3.07E-02,2.30E-02,7.88E-02,6.71E-02,4.34E-03,8.17E-02,4.52E-01,1.13E-01
6000_29200,1.02E-01,1.00E-01,1.31E-01,6.25E-02,5.17E-02,3.39E-02,8.33E-02,5.35E-03,1.01E-01,6.59E-02,2.63E-01
6000_30000,5.46E-02,1.19E-01,8.09E-02,7.65E-02,3.32E-02,1.73E-02,9.64E-02,3.31E-03,1.26E-01,8.20E-02,3.11E-01
6000_30800,4.98E-02,1.03E-01,6.19E-02,7.96E-02,2.78E-02,2.58E-02,6.47E-02,4.88E-03,3.65E-01,5.44E-02,1.63E-01
6000_31600,5.77E-02,4.99E-02,3.41E-02,5.37E-02,1.13E-02,8.44E-02,1.74E-02,1.81E-03,3.74E-01,1.27E-01,1.89E-01
6000_32400,3.65E-02,4.21E-02,1.43E-01,5.63E-02,4.36E-02,9.73E-02,1.87E-01,1.90E-02,1.18E-01,1.78E-01,7.90E-02
6000_33200,3.52E-03,7.73E-02,3.89E-02,1.05E-02,2.07E-02,1.84E-03,1.24E-02,7.43E-04,2.99E-01,3.82E-01,1.54E-01
6000_34000,7.88E-02,6.66E-02,9.15E-02,1.10E-01,3.21E-02,1.12E-01,8.28E-02,1.05E-02,8.56E-02,1.82E-01,1.48E-01
6000_34800,5.52E-03,3.17E-02,1.62E-01,2.20E-02,4.24E-02,2.34E-02,4.54E-01,1.20E-02,3.96E-02,1.23E-01,8.41E-02
6000_35600,1.54E-02,2.29E-02,1.77E-01,2.49E-02,3.89E-02,4.01E-02,4.90E-01,1.67E-02,4.27E-02,7.42E-02,5.80E-02
6000_36400,4.71E-02,7.68E-02,1.87E-01,5.64E-02,7.60E-02,5.07E-02,1.54E-01,1.76E-02,6.68E-02,1.27E-01,1.40E-01
6000_37200,2.38E-02,1.96E-01,1.02E-01,4.00E-02,6.15E-02,1.02E-02,4.45E-02,5.15E-03,8.72E-02,1.87E-01,2.43E-01
6000_38000,2.31E-02,2.17E-02,2.39E-01,1.37E-02,5.08E-02,2.79E-02,2.56E-01,7.29E-03,2.13E-02,2.53E-01,8.55E-02
6000_38800,5.19E-02,4.09E-02,3.51E-01,2.86E-02,7.19E-02,4.41E-02,1.35E-01,1.47E-02,5.22E-02,1.17E-01,9.21E-02
6000_39600,2.59E-02,4.67E-02,4.66E-01,2.86E-02,8.17E-02,2.29E-02,9.97E-02,1.04E-02,4.02E-02,9.56E-02,8.26E-02
6000_40400,1.55E-02,3.28E-02,2.14E-01,2.35E-02,4.73E-02,3.13E-02,1.90E-01,7.87E-03,6.30E-02,2.82E-01,9.27E-02
6000_41200,1.08E-02,3.63E-02,1.93E-01,2.73E-02,5.05E-02,2.90E-02,2.85E-01,1.13E-02,6.37E-02,2.04E-01,8.85E-02
6000_42000,1.74E-02,2.31E-02,1.67E-01,2.98E-02,3.73E-02,4.56E-02,4.38E-01,1.50E-02,4.45E-02,1.34E-01,4.89E-02
6000_42800,1.26E-02,2.76E-02,1.87E-01,3.22E-02,4.31E-02,3.34E-02,4.38E-01,1.57E-02,3.98E-02,1.16E-01,5.52E-02
6000_43600,1.70E-02,2.27E-02,1.44E-01,3.57E-02,3.04E-02,6.26E-02,4.52E-01,1.67E-02,5.31E-02,1.19E-01,4.75E-02
6000_44400,6.30E-03,2.38E-02,1.26E-01,2.70E-02,2.90E-02,2.78E-02,4.63E-01,1.01E-02,3.64E-02,1.96E-01,5.57E-02
6000_45200,2.51E-02,3.71E-02,1.74E-01,4.07E-02,5.46E-02,5.48E-02,3.42E-01,2.35E-02,4.84E-02,1.30E-01,7.02E-02
6000_46000,3.52E-02,1.29E-01,2.00E-01,2.54E-02,8.43E-02,1.29E-02,4.50E-02,6.13E-03,1.13E-01,1.22E-01,2.28E-01
6000_46800,1.87E-01,6.51E-02,1.09E-01,5.65E-02,3.23E-02,5.73E-02,6.74E-02,7.00E-03,1.24E-01,1.26E-01,1.69E-01
6800_23600,9.86E-02,1.40E-01,4.94E-02,8.98E-02,3.12E-02,6.04E-02,2.80E-02,6.33E-03,1.22E-01,9.62E-02,2.79E-01
6800_25200,6.17E-02,4.12E-02,1.46E-01,5.10E-02,5.06E-02,1.16E-01,1.33E-01,1.69E-02,8.52E-02,2.03E-01,9.60E-02
6800_26000,5.92E-02,1.88E-02,1.90E-01,3.87E-02,3.82E-02,1.05E-01,2.88E-01,1.62E-02,3.14E-02,1.67E-01,4.78E-02
6800_26800,4.16E-02,8.90E-02,6.70E-02,2.78E-01,1.62E-02,3.67E-02,9.52E-02,5.84E-03,9.62E-02,1.29E-01,1.45E-01
6800_27600,3.93E-02,1.87E-01,4.91E-02,1.58E-01,3.08E-02,3.86E-02,3.61E-02,6.88E-03,8.54E-02,7.03E-02,2.99E-01
6800_28400,8.29E-02,1.08E-01,1.52E-01,6.21E-02,5.92E-02,2.88E-02,7.85E-02,5.54E-03,7.65E-02,6.51E-02,2.81E-01
6800_29200,2.15E-02,1.27E-01,7.52E-02,3.47E-02,4.62E-02,6.02E-03,6.62E-02,1.73E-03,4.68E-02,4.61E-02,5.29E-01
6800_30000,3.15E-02,1.10E-01,4.20E-02,4.54E-02,2.24E-02,1.11E-02,4.17E-02,1.85E-03,3.67E-01,8.67E-02,2.40E-01
6800_30800,1.90E-03,3.34E-02,4.18E-03,7.86E-03,2.39E-03,5.96E-04,2.66E-03,1.47E-04,8.72E-01,3.32E-02,4.16E-02
6800_31600,5.11E-03,5.21E-02,3.42E-02,1.86E-02,1.51E-02,5.15E-03,2.71E-02,1.62E-03,6.17E-01,1.48E-01,7.62E-02
6800_32400,1.05E-02,9.29E-02,6.30E-02,2.88E-02,3.65E-02,8.76E-03,5.95E-02,3.80E-03,2.64E-01,2.52E-01,1.81E-01
6800_33200,4.86E-03,2.24E-01,3.88E-02,1.72E-02,3.14E-02,1.61E-03,1.05E-02,1.12E-03,2.47E-01,1.70E-01,2.54E-01
6800_34000,6.06E-02,4.44E-02,2.28E-01,5.20E-02,6.55E-02,6.77E-02,2.23E-01,2.35E-02,5.29E-02,1.00E-01,8.26E-02
6800_34800,3.59E-02,4.62E-02,1.84E-01,4.10E-02,6.85E-02,4.67E-02,2.25E-01,1.58E-02,3.96E-02,1.87E-01,1.11E-01
6800_35600,1.55E-02,5.77E-02,1.29E-01,3.42E-02,6.41E-02,3.22E-02,2.62E-01,1.64E-02,5.08E-02,2.17E-01,1.21E-01
6800_36400,4.23E-02,6.58E-02,1.65E-01,8.83E-02,5.63E-02,1.01E-01,1.46E-01,2.51E-02,4.96E-02,1.36E-01,1.26E-01
6800_37200,8.20E-02,4.17E-02,1.47E-01,7.41E-02,3.65E-02,1.54E-01,1.50E-01,1.76E-02,7.81E-02,1.33E-01,8.59E-02
6800_38000,1.48E-02,5.16E-02,4.36E-01,2.47E-02,8.09E-02,1.62E-02,1.20E-01,9.56E-03,5.01E-02,1.04E-01,9.24E-02
6800_38800,2.26E-02,4.16E-02,3.86E-01,2.41E-02,5.70E-02,2.29E-02,9.60E-02,6.73E-03,4.31E-02,2.05E-01,9.50E-02
6800_39600,6.15E-02,2.84E-02,2.51E-01,4.27E-02,4.86E-02,9.89E-02,1.76E-01,1.58E-02,4.14E-02,1.69E-01,6.63E-02
6800_40400,3.56E-02,2.79E-02,1.86E-01,6.20E-02,3.58E-02,1.27E-01,2.12E-01,1.69E-02,4.14E-02,1.94E-01,6.08E-02
6800_41200,1.23E-02,1.90E-02,1.45E-01,2.48E-02,3.27E-02,3.19E-02,5.40E-01,1.31E-02,2.85E-02,1.11E-01,4.15E-02
6800_42000,7.83E-03,2.24E-02,1.18E-01,2.12E-02,3.28E-02,2.45E-02,4.93E-01,1.10E-02,3.30E-02,1.87E-01,4.84E-02
6800_42800,2.43E-02,3.51E-02,1.63E-01,9.26E-02,3.06E-02,1.04E-01,2.32E-01,1.79E-02,5.55E-02,1.80E-01,6.48E-02
6800_43600,2.06E-02,2.47E-02,1.38E-01,4.32E-02,3.27E-02,7.70E-02,3.80E-01,1.74E-02,4.06E-02,1.71E-01,5.56E-02
6800_44400,1.25E-02,1.83E-02,1.20E-01,2.35E-02,2.57E-02,4.78E-02,4.78E-01,1.11E-02,6.02E-02,1.62E-01,4.18E-02
6800_45200,1.20E-01,2.69E-02,9.88E-02,4.59E-02,2.74E-02,2.69E-01,6.08E-02,9.63E-03,7.87E-02,1.36E-01,1.27E-01
6800_46000,1.13E-01,1.05E-01,1.65E-01,1.48E-02,4.11E-02,8.32E-03,1.86E-02,1.11E-03,8.77E-02,9.59E-02,3.50E-01
7600_22000,1.07E-01,6.63E-02,9.05E-02,6.16E-02,3.52E-02,1.15E-01,5.44E-02,6.65E-03,8.83E-02,1.16E-01,2.60E-01
7600_23600,3.11E-02,1.92E-02,1.57E-01,3.66E-02,2.92E-02,9.35E-02,3.00E-01,1.23E-02,6.94E-02,2.15E-01,3.69E-02
7600_24400,2.02E-02,2.20E-02,1.59E-01,2.55E-02,3.65E-02,3.85E-02,3.30E-01,1.04E-02,7.82E-02,2.44E-01,3.61E-02
7600_25200,1.97E-01,2.34E-02,1.25E-01,4.59E-02,3.06E-02,2.24E-01,5.79E-02,1.24E-02,5.36E-02,1.42E-01,8.86E-02
7600_26000,1.17E-02,2.12E-01,4.76E-02,2.71E-01,2.32E-02,1.51E-02,4.16E-02,5.11E-03,1.07E-01,8.71E-02,1.78E-01
7600_27600,6.84E-02,5.84E-02,1.97E-01,5.41E-02,6.01E-02,3.59E-02,1.97E-01,1.23E-02,1.11E-01,7.44E-02,1.32E-01
7600_28400,9.71E-02,1.23E-01,1.20E-01,4.23E-02,4.64E-02,1.73E-02,5.14E-02,3.11E-03,6.67E-02,8.50E-02,3.48E-01
7600_29200,1.52E-01,6.14E-02,1.37E-01,5.63E-02,3.57E-02,4.54E-02,1.11E-01,7.20E-03,1.26E-01,1.14E-01,1.54E-01
7600_30000,3.50E-02,7.73E-02,1.51E-01,4.28E-02,6.15E-02,2.62E-02,1.65E-01,8.84E-03,1.15E-01,1.24E-01,1.93E-01
7600_30800,6.52E-05,6.73E-03,5.19E-04,7.46E-04,2.26E-04,2.69E-05,1.59E-04,7.65E-06,9.79E-01,6.04E-03,6.13E-03
7600_31600,4.36E-02,7.31E-02,9.07E-02,7.26E-02,3.70E-02,4.75E-02,1.42E-01,1.08E-02,1.62E-01,2.14E-01,1.07E-01
7600_32400,3.35E-02,5.73E-02,7.39E-02,6.20E-02,2.50E-02,6.80E-02,7.12E-02,7.73E-03,3.88E-01,1.05E-01,1.08E-01
7600_33200,1.75E-02,9.06E-02,1.09E-01,3.19E-02,5.71E-02,1.43E-02,9.58E-02,6.11E-03,1.12E-01,2.60E-01,2.06E-01
7600_34000,3.81E-02,3.59E-02,1.92E-01,5.24E-02,5.08E-02,1.00E-01,2.43E-01,2.37E-02,4.37E-02,1.39E-01,8.17E-02
7600_34800,1.03E-02,4.38E-02,1.67E-01,3.14E-02,5.56E-02,3.40E-02,3.62E-01,1.81E-02,4.92E-02,1.36E-01,9.32E-02
7600_35600,4.78E-02,4.28E-02,1.17E-01,6.47E-02,3.80E-02,1.38E-01,1.59E-01,1.61E-02,5.49E-02,1.93E-01,1.29E-01
7600_36400,4.74E-02,8.32E-02,1.84E-01,8.07E-02,5.88E-02,6.16E-02,1.16E-01,1.28E-02,9.80E-02,1.10E-01,1.47E-01
7600_37200,6.04E-02,3.11E-02,3.37E-01,4.79E-02,6.19E-02,7.57E-02,1.78E-01,1.87E-02,3.04E-02,9.57E-02,6.28E-02
7600_38000,2.30E-02,2.68E-02,4.37E-01,1.67E-02,6.61E-02,1.81E-02,1.89E-01,7.53E-03,2.00E-02,1.21E-01,7.54E-02
7600_38800,5.40E-02,3.61E-02,2.59E-01,7.18E-02,3.94E-02,1.22E-01,1.35E-01,1.41E-02,3.43E-02,1.51E-01,8.36E-02
7600_39600,1.00E-02,2.40E-02,3.29E-01,1.77E-02,5.33E-02,1.59E-02,3.20E-01,7.41E-03,3.05E-02,1.32E-01,6.10E-02
7600_40400,8.60E-03,3.52E-02,2.27E-01,3.03E-02,4.69E-02,2.61E-02,3.49E-01,1.20E-02,5.43E-02,1.40E-01,7.06E-02
7600_41200,8.81E-02,3.48E-02,1.57E-01,4.49E-02,5.14E-02,1.34E-01,1.39E-01,1.81E-02,3.97E-02,1.73E-01,1.20E-01
7600_42000,4.52E-03,2.16E-02,1.19E-01,1.72E-02,2.94E-02,1.73E-02,4.90E-01,7.81E-03,4.31E-02,1.99E-01,5.10E-02
7600_42800,1.92E-02,2.47E-02,1.54E-01,4.62E-02,2.97E-02,9.87E-02,3.38E-01,1.55E-02,4.60E-02,1.64E-01,6.35E-02
7600_43600,2.93E-02,2.10E-02,1.56E-01,4.33E-02,2.84E-02,1.24E-01,3.32E-01,1.67E-02,5.16E-02,1.39E-01,5.87E-02
7600_44400,1.50E-02,1.97E-02,1.69E-01,3.06E-02,3.25E-02,4.36E-02,4.90E-01,1.44E-02,3.58E-02,1.07E-01,4.27E-02
7600_45200,1.46E-01,1.46E-02,1.05E-01,3.70E-02,2.10E-02,3.50E-01,5.45E-02,8.55E-03,4.36E-02,1.35E-01,8.49E-02
7600_46000,1.41E-01,7.11E-02,1.93E-01,1.25E-02,3.73E-02,1.24E-02,2.17E-02,1.29E-03,1.45E-01,1.01E-01,2.64E-01
8400_22800,5.20E-02,2.42E-02,1.99E-01,3.87E-02,4.53E-02,5.10E-02,3.03E-01,1.70E-02,7.40E-02,1.63E-01,3.31E-02
8400_23600,3.57E-02,2.34E-02,1.68E-01,2.84E-02,3.80E-02,5.68E-02,2.93E-01,1.31E-02,8.10E-02,2.26E-01,3.74E-02
8400_24400,3.69E-02,5.67E-02,1.39E-01,2.78E-02,5.74E-02,2.35E-02,1.33E-01,6.57E-03,5.56E-02,3.19E-01,1.44E-01
8400_26800,3.63E-02,1.40E-01,8.56E-02,4.26E-02,4.60E-02,6.39E-03,7.59E-02,2.31E-03,1.25E-01,5.44E-02,3.86E-01
8400_27600,1.36E-01,7.37E-02,1.47E-01,5.94E-02,4.17E-02,3.44E-02,1.12E-01,7.44E-03,1.32E-01,9.09E-02,1.65E-01
8400_28400,9.50E-02,5.36E-02,2.33E-01,4.01E-02,4.96E-02,1.87E-02,1.39E-01,3.17E-03,1.24E-01,4.79E-02,1.95E-01
8400_29200,6.14E-02,8.61E-02,6.01E-02,5.35E-02,2.24E-02,2.44E-02,6.57E-02,2.63E-03,3.22E-01,9.78E-02,2.04E-01
8400_30000,6.31E-04,9.47E-03,3.01E-03,3.78E-03,1.01E-03,3.62E-04,1.83E-03,1.14E-04,9.62E-01,1.02E-02,7.08E-03
8400_30800,5.43E-04,2.58E-02,5.11E-03,3.93E-03,2.52E-03,2.86E-04,2.05E-03,1.32E-04,9.06E-01,2.83E-02,2.49E-02
8400_31600,4.61E-02,5.13E-02,3.59E-02,4.72E-02,1.20E-02,1.44E-02,3.54E-02,2.39E-03,6.26E-01,6.17E-02,6.76E-02
8400_32400,1.88E-02,6.56E-02,1.35E-01,4.00E-02,5.77E-02,3.23E-02,1.62E-01,1.20E-02,1.10E-01,2.46E-01,1.20E-01
8400_33200,3.63E-02,5.89E-02,1.79E-01,1.08E-01,5.20E-02,8.60E-02,2.01E-01,2.97E-02,4.12E-02,1.19E-01,8.86E-02
8400_34000,4.52E-02,1.15E-01,8.69E-02,4.54E-02,5.37E-02,3.35E-02,4.06E-02,5.23E-03,5.39E-02,1.92E-01,3.29E-01
8400_34800,1.15E-02,6.69E-02,1.45E-01,3.30E-02,7.38E-02,2.31E-02,2.76E-01,1.50E-02,4.00E-02,1.75E-01,1.42E-01
8400_35600,4.34E-02,3.69E-02,1.77E-01,6.78E-02,4.20E-02,1.39E-01,2.06E-01,2.57E-02,5.85E-02,1.25E-01,7.93E-02
8400_36400,8.49E-02,5.78E-02,1.34E-01,7.39E-02,4.56E-02,1.21E-01,1.00E-01,1.48E-02,4.98E-02,1.63E-01,1.54E-01
8400_37200,6.44E-02,5.59E-02,2.77E-01,6.58E-02,6.58E-02,8.05E-02,1.17E-01,2.34E-02,5.27E-02,1.28E-01,6.95E-02
8400_38000,5.18E-02,3.44E-02,3.50E-01,5.29E-02,4.80E-02,9.98E-02,1.09E-01,1.36E-02,4.13E-02,1.24E-01,7.47E-02
8400_38800,1.96E-02,3.88E-02,2.92E-01,2.20E-02,6.75E-02,2.05E-02,2.06E-01,1.02E-02,4.19E-02,2.04E-01,7.83E-02
8400_39600,1.07E-02,5.30E-02,3.65E-01,2.35E-02,7.44E-02,1.38E-02,1.62E-01,9.51E-03,6.18E-02,1.32E-01,9.36E-02
8400_40400,1.76E-02,4.44E-02,1.82E-01,6.92E-02,4.44E-02,7.19E-02,2.47E-01,2.00E-02,4.53E-02,1.83E-01,7.56E-02
8400_41200,7.98E-03,2.15E-02,1.31E-01,1.89E-02,3.40E-02,2.11E-02,5.19E-01,1.06E-02,3.42E-02,1.58E-01,4.43E-02
8400_42000,1.02E-02,4.82E-02,1.83E-01,2.98E-02,6.50E-02,2.20E-02,3.35E-01,1.77E-02,5.00E-02,1.55E-01,8.35E-02
8400_42800,1.43E-02,4.11E-02,2.06E-01,3.42E-02,6.67E-02,2.44E-02,3.16E-01,1.72E-02,3.30E-02,1.74E-01,7.23E-02
8400_43600,1.60E-02,2.74E-02,1.33E-01,3.54E-02,3.63E-02,5.86E-02,3.97E-01,1.69E-02,4.83E-02,1.71E-01,6.05E-02
8400_44400,1.75E-01,3.29E-02,2.18E-01,5.48E-02,3.73E-02,9.08E-02,1.39E-01,8.35E-03,7.07E-02,7.08E-02,1.02E-01
8400_45200,1.88E-01,5.09E-02,1.38E-01,7.26E-02,3.46E-02,5.11E-02,6.01E-02,6.03E-03,2.31E-01,5.35E-02,1.14E-01
8400_46000,1.51E-01,6.57E-02,2.30E-01,1.22E-02,3.66E-02,1.41E-02,2.64E-02,1.28E-03,9.92E-02,1.00E-01,2.63E-01
8400_46800,1.62E-01,5.27E-02,1.33E-01,7.47E-02,4.11E-02,8.52E-02,1.25E-01,1.23E-02,1.02E-01,1.03E-01,1.10E-01
9200_21200,1.20E-01,1.16E-01,6.69E-02,1.15E-01,2.61E-02,5.97E-02,4.36E-02,5.59E-03,1.68E-01,7.10E-02,2.09E-01
9200_22000,5.69E-02,5.93E-02,1.49E-01,1.21E-01,4.60E-02,8.15E-02,1.76E-01,2.50E-02,8.04E-02,1.45E-01,6.02E-02
9200_22800,4.30E-02,1.88E-02,1.73E-01,2.63E-02,3.31E-02,6.58E-02,2.83E-01,1.14E-02,8.95E-02,2.25E-01,3.19E-02
9200_23600,2.44E-02,1.37E-01,6.19E-02,2.75E-01,2.15E-02,2.88E-02,6.99E-02,7.04E-03,9.10E-02,1.19E-01,1.64E-01
9200_24400,5.45E-02,9.10E-02,1.32E-01,1.46E-01,5.95E-02,6.15E-02,1.14E-01,2.76E-02,5.17E-02,1.64E-01,9.89E-02
9200_26000,1.22E-02,8.59E-02,9.20E-02,1.57E-02,4.00E-02,5.54E-03,9.18E-02,1.07E-03,1.47E-02,1.42E-01,4.99E-01
9200_26800,4.60E-02,1.20E-01,1.00E-01,5.50E-02,4.21E-02,2.02E-02,1.21E-01,3.60E-03,7.03E-02,1.11E-01,3.10E-01
9200_27600,1.02E-01,8.81E-02,1.47E-01,5.77E-02,4.50E-02,4.38E-02,6.99E-02,5.33E-03,1.82E-01,5.67E-02,2.03E-01
9200_28400,1.48E-01,7.18E-02,1.57E-01,5.75E-02,4.15E-02,2.56E-02,7.67E-02,4.32E-03,1.71E-01,6.44E-02,1.82E-01
9200_29200,1.39E-02,4.95E-02,2.23E-02,3.03E-02,1.04E-02,7.29E-03,2.75E-02,1.34E-03,7.08E-01,4.95E-02,8.00E-02
9200_30000,1.46E-02,4.71E-02,1.13E-01,2.88E-02,3.90E-02,1.82E-02,1.57E-01,9.56E-03,3.75E-01,1.35E-01,6.36E-02
9200_30800,1.29E-02,6.84E-02,9.94E-02,4.33E-02,3.67E-02,1.71E-02,2.17E-01,8.52E-03,2.85E-01,1.24E-01,8.70E-02
9200_31600,5.31E-03,6.59E-02,4.92E-02,2.54E-02,1.68E-02,6.91E-03,2.31E-02,1.77E-03,4.68E-01,2.49E-01,8.91E-02
9200_32400,2.99E-02,7.20E-02,1.35E-01,3.63E-02,6.44E-02,2.90E-02,1.36E-01,7.07E-03,4.64E-02,2.33E-01,2.11E-01
9200_33200,8.21E-02,5.04E-02,1.31E-01,7.17E-02,3.92E-02,1.55E-01,1.10E-01,1.49E-02,5.16E-02,1.31E-01,1.63E-01
9200_34000,5.88E-03,1.89E-02,1.36E-01,1.96E-02,2.61E-02,2.74E-02,6.03E-01,1.18E-02,3.55E-02,6.86E-02,4.77E-02
9200_34800,1.14E-02,2.39E-02,1.56E-01,2.64E-02,3.55E-02,3.78E-02,5.15E-01,1.66E-02,4.05E-02,7.96E-02,5.77E-02
9200_35600,8.71E-02,3.17E-02,9.94E-02,6.24E-02,2.76E-02,2.10E-01,1.09E-01,1.26E-02,6.60E-02,1.88E-01,1.05E-01
9200_36400,2.71E-02,3.95E-02,2.45E-01,7.85E-02,4.21E-02,9.59E-02,2.08E-01,2.05E-02,4.90E-02,1.23E-01,7.14E-02
9200_37200,6.68E-02,2.92E-02,3.33E-01,5.15E-02,5.03E-02,1.11E-01,1.38E-01,1.67E-02,4.80E-02,9.26E-02,6.33E-02
9200_38000,3.08E-02,3.28E-02,3.24E-01,2.88E-02,5.65E-02,4.05E-02,2.27E-01,1.29E-02,4.28E-02,1.36E-01,6.81E-02
9200_38800,1.18E-02,3.43E-02,1.35E-01,1.62E-02,4.92E-02,1.84E-02,1.89E-01,7.61E-03,3.65E-02,4.05E-01,9.70E-02
9200_39600,1.06E-02,4.34E-02,1.82E-01,2.39E-02,6.21E-02,2.08E-02,2.25E-01,1.08E-02,4.70E-02,2.66E-01,1.08E-01
9200_40400,2.36E-02,4.14E-02,2.25E-01,2.70E-02,6.76E-02,3.26E-02,2.65E-01,1.68E-02,7.29E-02,1.45E-01,8.31E-02
9200_41200,6.19E-03,2.95E-02,1.42E-01,2.12E-02,4.24E-02,1.71E-02,4.13E-01,1.03E-02,3.99E-02,2.14E-01,6.45E-02
9200_42000,5.65E-03,1.98E-02,1.19E-01,2.23E-02,2.61E-02,2.32E-02,5.72E-01,1.07E-02,3.93E-02,1.24E-01,3.82E-02
9200_42800,3.80E-02,2.01E-02,1.57E-01,4.85E-02,2.73E-02,1.33E-01,3.24E-01,1.82E-02,5.71E-02,1.32E-01,4.58E-02
9200_43600,1.40E-02,1.94E-02,1.34E-01,2.24E-02,3.14E-02,4.36E-02,4.12E-01,1.01E-02,4.65E-02,2.17E-01,4.96E-02
9200_44400,1.38E-01,6.63E-02,4.76E-02,7.51E-02,2.07E-02,1.19E-01,3.52E-02,4.31E-03,1.35E-01,1.18E-01,2.40E-01
9200_45200,1.72E-01,7.72E-02,1.00E-01,5.44E-02,3.37E-02,4.16E-02,3.72E-02,3.94E-03,1.98E-01,8.16E-02,2.00E-01
