,B,T,Mal,CAF,Macro,Endo,NK
20x27,1.61E-01,4.04E-01,2.95E-01,3.28E-02,5.29E-02,2.77E-02,2.64E-02
20x28,1.44E-01,3.89E-01,3.30E-01,3.02E-02,5.30E-02,2.69E-02,2.59E-02
21x6,1.16E-01,3.82E-01,3.98E-01,2.10E-02,4.38E-02,1.97E-02,1.97E-02
21x7,8.83E-02,3.06E-01,4.90E-01,2.03E-02,5.04E-02,2.24E-02,2.30E-02
21x8,9.26E-02,3.15E-01,4.77E-01,2.07E-02,5.00E-02,2.24E-02,2.29E-02
21x9,1.18E-01,3.84E-01,3.87E-01,2.28E-02,4.63E-02,2.13E-02,2.12E-02
21x10,1.11E-01,3.69E-01,4.14E-01,2.09E-02,4.49E-02,2.02E-02,2.02E-02
21x11,1.19E-01,3.75E-01,3.94E-01,2.27E-02,4.68E-02,2.16E-02,2.14E-02
21x12,1.22E-01,3.72E-01,3.80E-01,2.58E-02,5.08E-02,2.43E-02,2.42E-02
21x13,1.03E-01,4.15E-01,4.07E-01,1.48E-02,3.40E-02,1.35E-02,1.35E-02
21x14,1.51E-01,4.17E-01,3.08E-01,2.85E-02,4.80E-02,2.38E-02,2.33E-02
21x15,1.45E-01,4.25E-01,3.19E-01,2.50E-02,4.47E-02,2.12E-02,2.03E-02
21x16,1.39E-01,3.61E-01,3.49E-01,3.23E-02,5.88E-02,3.06E-02,2.95E-02
21x17,1.12E-01,2.95E-01,4.16E-01,3.37E-02,6.97E-02,3.68E-02,3.62E-02
21x18,1.15E-01,3.35E-01,4.13E-01,2.69E-02,5.65E-02,2.75E-02,2.73E-02
21x19,1.31E-01,3.65E-01,3.67E-01,2.86E-02,5.44E-02,2.71E-02,2.64E-02
21x20,1.70E-01,4.50E-01,2.68E-01,2.74E-02,4.25E-02,2.13E-02,2.02E-02
21x21,1.94E-01,4.96E-01,2.09E-01,2.73E-02,3.69E-02,1.87E-02,1.75E-02
21x22,2.02E-01,5.35E-01,1.84E-01,2.27E-02,2.95E-02,1.45E-02,1.32E-02
21x23,1.90E-01,4.83E-01,2.21E-01,2.82E-02,3.88E-02,1.98E-02,1.86E-02
21x24,1.65E-01,4.16E-01,2.88E-01,3.12E-02,4.98E-02,2.58E-02,2.46E-02
21x25,1.80E-01,4.54E-01,2.52E-01,2.89E-02,4.32E-02,2.20E-02,2.07E-02
21x26,1.77E-01,4.89E-01,2.38E-01,2.49E-02,3.67E-02,1.79E-02,1.69E-02
21x27,1.72E-01,5.04E-01,2.35E-01,2.31E-02,3.41E-02,1.63E-02,1.53E-02
21x28,1.37E-01,3.77E-01,3.49E-01,2.95E-02,5.42E-02,2.73E-02,2.63E-02
22x6,7.82E-02,2.71E-01,5.26E-01,2.04E-02,5.42E-02,2.41E-02,2.52E-02
22x7,9.23E-02,3.15E-01,4.75E-01,2.10E-02,5.07E-02,2.27E-02,2.32E-02
22x8,1.21E-01,3.96E-01,3.74E-01,2.26E-02,4.49E-02,2.06E-02,2.04E-02
22x9,1.20E-01,3.91E-01,3.87E-01,2.10E-02,4.30E-02,1.94E-02,1.93E-02
